nm,Abs
732,0.008
733,0.008
734,0.008
735,0.008
736,0.008
737,0.007
738,0.008
739,0.008
740,0.008
741,0.008
742,0.007
743,0.008
744,0.007
745,0.008
746,0.008
747,0.007
748,0.007
749,0.008
750,0.007
751,0.007
752,0.007
753,0.007
754,0.008
755,0.007
756,0.008
757,0.007
758,0.007
759,0.007
760,0.008
761,0.007
762,0.008
763,0.007
764,0.008
765,0.007
766,0.007
767,0.007
768,0.007
769,0.007
770,0.007
771,0.007
772,0.007
773,0.007
774,0.007
775,0.008
776,0.007
777,0.008
778,0.007
779,0.008
780,0.008
781,0.007
782,0.007
783,0.007
784,0.007
785,0.007
786,0.007
787,0.007
788,0.007
789,0.007
790,0.007
791,0.007
792,0.007
793,0.007
794,0.007
795,0.007
796,0.007
797,0.007
798,0.007
799,0.007
800,0.007
