nm,Abs
200,3.365
201,3.369
202,3.442
203,3.444
204,3.449
205,3.479
206,3.495
207,3.515
208,3.474
209,3.532
210,3.545
211,3.522
212,3.496
213,3.513
214,3.483
215,3.467
216,3.436
217,3.352
218,3.269
219,3.131
220,2.904
221,2.678
222,2.423
223,2.216
224,1.961
225,1.749
226,1.542
227,1.359
228,1.189
229,1.065
230,0.952
231,0.851
232,0.749
233,0.672
234,0.612
235,0.551
236,0.503
237,0.461
238,0.423
239,0.392
240,0.366
241,0.346
242,0.326
243,0.31
244,0.297
245,0.287
246,0.279
247,0.272
248,0.266
249,0.261
250,0.256
251,0.253
252,0.25
253,0.247
254,0.244
255,0.242
256,0.24
257,0.238
258,0.236
259,0.234
260,0.233
261,0.231
262,0.229
263,0.227
264,0.226
265,0.223
266,0.222
267,0.22
268,0.218
269,0.215
270,0.213
271,0.211
272,0.209
273,0.206
274,0.204
275,0.201
276,0.199
277,0.197
278,0.194
279,0.191
280,0.189
281,0.187
282,0.184
283,0.182
284,0.179
285,0.177
286,0.174
287,0.172
288,0.169
289,0.167
290,0.165
291,0.162
292,0.159
293,0.157
294,0.155
295,0.152
296,0.15
297,0.148
298,0.145
299,0.143
300,0.141
301,0.139
302,0.137
303,0.135
304,0.133
305,0.132
306,0.13
307,0.127
308,0.126
309,0.124
310,0.122
311,0.12
312,0.119
313,0.116
314,0.114
315,0.113
316,0.111
317,0.11
318,0.108
319,0.106
320,0.104
321,0.102
322,0.101
323,0.099
324,0.097
325,0.096
326,0.095
327,0.093
328,0.091
329,0.09
330,0.089
331,0.088
332,0.085
333,0.084
334,0.084
335,0.082
336,0.081
337,0.08
338,0.078
339,0.077
340,0.076
341,0.075
342,0.074
343,0.073
344,0.071
345,0.07
346,0.069
347,0.068
348,0.067
349,0.066
350,0.065
351,0.063
352,0.063
353,0.062
354,0.061
355,0.06
356,0.059
357,0.058
358,0.057
359,0.057
360,0.056
361,0.055
362,0.054
363,0.054
364,0.053
365,0.052
366,0.052
367,0.05
368,0.05
369,0.049
370,0.048
371,0.047
372,0.047
373,0.046
374,0.046
375,0.045
376,0.044
377,0.044
378,0.043
379,0.042
380,0.042
381,0.041
382,0.041
383,0.04
384,0.04
385,0.039
386,0.039
387,0.038
388,0.038
389,0.037
390,0.037
391,0.036
392,0.036
393,0.035
394,0.035
395,0.034
396,0.034
397,0.034
398,0.033
399,0.033
400,0.032
401,0.032
402,0.032
403,0.031
404,0.031
405,0.03
406,0.03
407,0.03
408,0.03
409,0.029
410,0.029
411,0.028
412,0.028
413,0.028
414,0.027
415,0.027
416,0.027
417,0.026
418,0.026
419,0.026
420,0.025
421,0.025
422,0.025
423,0.024
424,0.024
425,0.024
426,0.024
427,0.023
428,0.023
429,0.023
430,0.022
431,0.022
432,0.022
433,0.022
434,0.022
435,0.021
436,0.021
437,0.021
438,0.021
439,0.021
440,0.02
441,0.02
442,0.02
443,0.02
444,0.02
445,0.019
446,0.019
447,0.019
448,0.019
449,0.018
450,0.018
451,0.018
452,0.018
453,0.018
454,0.018
455,0.017
456,0.017
457,0.017
458,0.017
459,0.017
460,0.017
461,0.016
462,0.016
463,0.016
464,0.016
465,0.016
466,0.016
467,0.016
468,0.015
469,0.015
470,0.015
471,0.015
472,0.015
473,0.015
474,0.014
475,0.014
476,0.014
477,0.014
478,0.014
479,0.014
480,0.014
481,0.013
482,0.013
483,0.013
484,0.013
485,0.013
486,0.013
487,0.013
488,0.013
489,0.013
490,0.013
491,0.012
492,0.012
493,0.012
494,0.012
495,0.012
496,0.012
497,0.012
498,0.012
499,0.011
500,0.012
501,0.011
502,0.011
503,0.011
504,0.011
505,0.011
506,0.011
507,0.011
508,0.011
509,0.011
510,0.01
511,0.01
512,0.01
513,0.01
514,0.01
515,0.01
516,0.01
517,0.01
518,0.01
519,0.01
520,0.01
521,0.009
522,0.009
523,0.009
524,0.009
525,0.009
526,0.009
527,0.009
528,0.009
529,0.009
530,0.009
531,0.009
532,0.009
533,0.009
534,0.008
535,0.008
536,0.008
537,0.008
538,0.008
539,0.008
540,0.008
541,0.008
542,0.008
543,0.008
544,0.008
545,0.008
546,0.008
547,0.008
548,0.008
549,0.008
550,0.008
551,0.007
552,0.007
553,0.007
554,0.007
555,0.007
556,0.007
557,0.007
558,0.007
559,0.007
560,0.007
561,0.007
562,0.007
563,0.007
564,0.007
565,0.007
566,0.007
567,0.007
568,0.007
569,0.007
570,0.007
571,0.007
572,0.007
573,0.007
574,0.006
575,0.006
576,0.006
577,0.006
578,0.006
579,0.006
580,0.006
581,0.006
582,0.006
583,0.006
584,0.006
585,0.006
586,0.006
587,0.006
588,0.006
589,0.006
590,0.006
591,0.006
592,0.006
593,0.006
594,0.006
595,0.005
596,0.006
597,0.006
598,0.005
599,0.005
600,0.005
601,0.005
602,0.005
603,0.005
604,0.005
605,0.005
606,0.005
607,0.005
608,0.005
609,0.005
610,0.005
611,0.005
612,0.005
613,0.005
614,0.005
615,0.005
