Wavelength (nm),Abs
200,0.328830123
201,0.309935004
202,0.294392675
203,0.283107251
204,0.270804763
205,0.258200854
206,0.250997424
207,0.240096465
208,0.231580064
209,0.223897681
210,0.216543406
211,0.208539233
212,0.200941533
213,0.193135485
214,0.188608393
215,0.179832727
216,0.172531277
217,0.168284684
218,0.161712095
219,0.154236764
220,0.149241298
221,0.145487219
222,0.140663907
223,0.135640651
224,0.12969698
225,0.126582533
226,0.125093699
227,0.120385431
228,0.115840428
229,0.11313501
230,0.109659173
231,0.106136896
232,0.104443654
233,0.101059452
234,0.097571835
235,0.096366189
236,0.095725499
237,0.092420556
238,0.091292128
239,0.089909509
240,0.089343727
241,0.087851152
242,0.085192382
243,0.084020831
244,0.084465966
245,0.082675345
246,0.081790932
247,0.080756374
248,0.080630377
249,0.080642655
250,0.0789961
251,0.077638946
252,0.077064626
253,0.077135414
254,0.076431662
255,0.07740581
256,0.076642662
257,0.075957432
258,0.075675398
259,0.07626757
260,0.075533375
261,0.07522212
262,0.073298924
263,0.072947323
264,0.072597474
265,0.072397418
266,0.072720364
267,0.069201097
268,0.06947194
269,0.068407185
270,0.06788379
271,0.067083947
272,0.06648083
273,0.0664002
274,0.066623762
275,0.062964827
276,0.062857442
277,0.06278418
278,0.06047637
279,0.059647601
280,0.059041791
281,0.056982208
282,0.057656683
283,0.055468474
284,0.056733407
285,0.053665906
286,0.053688549
287,0.052401889
288,0.050168097
289,0.04791585
290,0.048370134
291,0.050265096
292,0.048702531
293,0.04685213
294,0.043926399
295,0.039932448
296,0.040863112
297,0.039711632
298,0.041103836
299,0.040895991
300,0.037711523
301,0.03920066
302,0.038043119
303,0.03671591
304,0.035489477
305,0.035409514
306,0.034909189
307,0.032540888
308,0.032732047
309,0.029685184
310,0.029157769
311,0.02901179
312,0.027034296
313,0.028000368
314,0.027631903
315,0.027383255
316,0.025841841
317,0.025064586
318,0.024203205
319,0.024000965
320,0.024153287
321,0.024418548
322,0.022626301
323,0.023148106
324,0.023264624
325,0.022553332
326,0.02179116
327,0.020850955
328,0.02016307
329,0.017573785
330,0.016981639
331,0.016188197
332,0.017347666
333,0.01879186
334,0.020101277
335,0.017677709
336,0.016801082
337,0.015904149
338,0.01547117
339,0.015507572
340,0.014400038
341,0.011921139
342,0.012927973
343,0.011248626
344,0.011501865
345,0.01284539
346,0.010849083
347,0.011763977
348,0.01210612
349,0.012316077
350,0.011724723
351,0.011980635
352,0.012333521
353,0.013168399
354,0.010650365
355,0.010087871
356,0.009839796
357,0.010097436
358,0.009788271
359,0.009963869
360,0.008941494
361,0.008067487
362,0.008963321
363,0.008514394
364,0.008882201
365,0.008167604
366,0.007910975
367,0.007910316
368,0.007882399
369,0.007789991
370,0.007311552
371,0.006958644
372,0.007096737
373,0.007168313
374,0.006811919
375,0.006900227
376,0.006655044
377,0.006485718
378,0.006231131
379,0.006047875
380,0.005925755
381,0.005994671
382,0.005660166
383,0.005676558
384,0.005296597
385,0.005453768
386,0.005404831
387,0.00549039
388,0.004926
389,0.005141682
390,0.005223338
391,0.004560533
392,0.00495124
393,0.004830973
394,0.004795375
395,0.004541803
396,0.004517398
397,0.00454421
398,0.004173967
399,0.004004665
400,0.00421793
401,0.004054986
402,0.00413581
403,0.00404963
404,0.00370367
405,0.003471452
406,0.003915742
407,0.00351965
408,0.003554673
409,0.003503966
410,0.003396178
411,0.003731919
412,0.003603428
413,0.00319419
414,0.003348959
415,0.003271177
416,0.003045316
417,0.003066484
418,0.002993574
419,0.002942724
420,0.002966754
421,0.002934436
422,0.00257965
423,0.003037808
424,0.002817931
425,0.0027559
426,0.002757854
427,0.002916246
428,0.002790418
429,0.002510154
430,0.002733575
431,0.002422916
432,0.002314382
433,0.00228292
434,0.002245163
435,0.0026209
436,0.002248597
437,0.002228354
438,0.002492164
439,0.002311779
440,0.002416773
441,0.002147728
442,0.002308162
443,0.002258173
444,0.001941874
445,0.002040094
446,0.002081605
447,0.00196304
448,0.002157926
449,0.002273604
450,0.001936517
451,0.002051434
452,0.001864057
453,0.002011019
454,0.001826102
455,0.00164997
456,0.0019406
457,0.001877238
458,0.001825791
459,0.00175956
460,0.001749554
461,0.001620998
462,0.001564177
463,0.001624817
464,0.001778144
465,0.001693314
466,0.001429028
467,0.001201787
468,0.001626402
469,0.001456974
470,0.001429313
471,0.001674812
472,0.001496195
473,0.001210638
474,0.001569503
475,0.001387034
476,0.00170636
477,0.001361118
478,0.001483649
479,0.001380984
480,0.001485961
481,0.001242854
482,0.001548382
483,0.001386749
484,0.001374414
485,0.001151431
486,0.001350524
487,0.001305058
488,0.001142737
489,0.001160204
490,0.001155844
491,0.00118847
492,0.001331828
493,0.001284236
494,0.001195972
495,0.001274916
496,0.001274578
497,0.00118385
498,0.001553578
499,0.001212403
500,0.00086688
501,0.001103859
502,0.001116161
503,0.001157116
504,0.001078894
505,0.001100485
506,0.000989556
507,0.001168276
508,0.001006888
509,0.000966155
510,0.000841072
511,0.001046665
512,0.001017941
513,0.001255159
514,0.001093089
515,0.000992851
516,0.000976039
517,0.001044589
518,0.00104734
519,0.001049805
520,0.001034366
521,0.001191378
522,0.000801392
523,0.001061508
524,0.000952846
525,0.001096281
526,0.000773696
527,0.00100598
528,0.000949421
529,0.000980164
530,0.001108167
531,0.000989504
532,0.000944855
533,0.000953442
534,0.000847972
535,0.001170509
536,0.00094387
537,0.000871471
538,0.00087007
539,0.000969138
540,0.001020899
541,0.000851525
542,0.000662357
543,0.00098665
544,0.001040827
545,0.000823229
546,0.001129968
547,0.000898655
548,0.00058902
549,0.001057148
550,0.000992384
551,0.00094981
552,0.000879356
553,0.001095996
554,0.000872845
555,0.000758837
556,0.000751317
557,0.000749787
558,0.00082743
559,0.000949862
560,0.000931028
561,0.000827767
562,0.000881094
563,0.001044615
564,0.000740218
565,0.000773721
566,0.000850202
567,0.000734618
568,0.000777819
569,0.000922079
570,0.000800536
571,0.000790915
572,0.000817808
573,0.000698732
574,0.000777482
575,0.001027541
576,0.000701999
577,0.000940756
578,0.000620153
579,0.000912429
580,0.000625
581,0.000951574
582,0.000823722
583,0.000658572
584,0.00085749
585,0.000659143
586,0.000753702
587,0.00077437
588,0.000651883
589,0.000689295
590,0.000565225
591,0.000725413
592,0.000621578
593,0.000633762
594,0.000722223
595,0.000775537
596,0.000416757
597,0.000523289
598,0.000708637
599,0.000469204
600,0.00040844
601,0.000598585
602,0.00022322
603,0.000560845
604,0.000377478
605,0.000457517
606,0.000480969
607,0.000350223
608,0.000662357
609,0.000818068
610,0.000572094
611,0.000650639
612,0.000802637
613,0.000560482
614,0.000652532
615,0.000354005
616,0.000449794
617,0.000573261
618,0.00091951
619,0.000494963
620,0.000739207
621,0.000785599
622,0.000645921
623,0.000681543
624,0.000706925
625,0.000567429
626,0.000735136
627,0.001034573
628,0.000939148
629,0.000684395
630,0.00056704
631,0.000532049
632,0.000588476
633,0.00101833
634,0.000462259
635,0.000731817
636,0.000801055
637,0.000572872
638,0.000662331
639,0.000873701
640,0.000749502
641,0.00069041
642,0.000630652
643,0.00069894
644,0.000494393
645,0.000843433
646,0.00076506
647,0.00068258
648,0.000483405
649,0.000624611
650,0.000752017
651,0.000614035
652,0.000747246
653,0.000900133
654,0.000675787
655,0.000712007
656,0.000694662
657,0.000915516
658,0.000687195
659,0.000940601
660,0.000946023
661,0.000621708
662,0.000604495
663,0.000656213
664,0.001037505
665,0.000599
666,0.000979905
667,0.000810832
668,0.000508076
669,0.000812284
670,0.000732362
671,0.000844704
672,0.000684083
673,0.000627904
674,0.000825096
675,0.000750539
676,0.000886956
677,0.000776652
678,0.000890017
679,0.001074794
680,0.001083254
681,0.00091964
682,0.001106818
683,0.000879901
684,0.001019057
685,0.000978063
686,0.00099529
687,0.000765657
688,0.000928175
689,0.001105624
690,0.00119984
691,0.000997937
692,0.000876477
693,0.001082449
694,0.001006291
695,0.001325571
696,0.001211988
697,0.001053515
698,0.00121718
699,0.001192234
700,0.001106428
701,0.001097371
702,0.00095435
703,0.000954169
704,0.000898239
705,0.000999441
706,0.001072692
707,0.001108401
708,0.001047677
709,0.000868721
710,0.0010483
711,0.000807616
712,0.000963482
713,0.00057295
714,0.000538607
715,0.000771595
716,0.000532594
717,0.000284606
718,0.000571135
719,0.00029862
720,9.60E-05
721,0.000446633
722,0.000132297
723,0.00037626
724,0.000190329
725,-0.00024414
726,-1.15E-05
727,-0.000114556
728,-0.000261473
729,-0.00049109
730,-0.000565344
731,-0.000759296
732,-0.001004662
733,-0.00128716
734,-0.001505865
735,-0.00142883
736,-0.001774786
737,-0.001964282
738,-0.001586394
739,-0.001525522
740,-0.001455353
741,-0.0017011
742,-0.001767877
743,-0.001461132
744,-0.001299394
745,-0.001056105
746,-0.001304555
747,-0.001300787
748,-0.001458191
749,-0.000860167
750,-0.000833349
751,-0.000592798
752,-0.000809424
753,-0.000768754
754,-0.000314763
755,-0.000389357
756,-0.000657782
757,-0.000200156
758,-0.000156271
759,-3.90E-05
760,0.000296236
761,0.000126808
762,0.000377141
763,0.000308075
764,0.000353643
765,0.000227856
766,0.000251322
767,0.000626789
768,0.000707574
769,0.000496336
770,0.000821361
771,0.00080772
772,0.000731688
773,0.001382542
774,0.001216089
775,0.001113695
776,0.00128164
777,0.001332659
778,0.001412095
779,0.00118058
780,0.001432534
781,0.001444403
782,0.001908852
783,0.001862705
784,0.002014503
785,0.001767591
786,0.001762705
787,0.002135788
788,0.001937453
789,0.001617516
790,0.001888521
791,0.001693704
792,0.001943746
793,0.001822619
794,0.001749814
795,0.001808036
796,0.001975444
797,0.001740561
798,0.00195009
799,0.001875522
800,0.001886831
