nm,Abs
200,0.88
201,0.841
202,0.809
203,0.779
204,0.754
205,0.731
206,0.708
207,0.682
208,0.658
209,0.634
210,0.608
211,0.583
212,0.551
213,0.524
214,0.493
215,0.462
216,0.43
217,0.397
218,0.367
219,0.339
220,0.307
221,0.282
222,0.258
223,0.235
224,0.212
225,0.194
226,0.178
227,0.163
228,0.149
229,0.137
230,0.126
231,0.118
232,0.109
233,0.103
234,0.097
235,0.091
236,0.086
237,0.082
238,0.078
239,0.075
240,0.072
241,0.07
242,0.067
243,0.065
244,0.063
245,0.061
246,0.06
247,0.058
248,0.057
249,0.055
250,0.054
251,0.053
252,0.052
253,0.05
254,0.05
255,0.049
256,0.048
257,0.047
258,0.046
259,0.045
260,0.044
261,0.043
262,0.042
263,0.041
264,0.04
265,0.039
266,0.038
267,0.038
268,0.037
269,0.036
270,0.035
271,0.034
272,0.033
273,0.033
274,0.032
275,0.031
276,0.031
277,0.03
278,0.029
279,0.029
280,0.028
281,0.027
282,0.027
283,0.027
284,0.026
285,0.025
286,0.025
287,0.024
288,0.024
289,0.024
290,0.023
291,0.022
292,0.022
293,0.021
294,0.021
295,0.02
296,0.02
297,0.019
298,0.019
299,0.019
300,0.018
301,0.017
302,0.017
303,0.017
304,0.016
305,0.016
306,0.015
307,0.015
308,0.015
309,0.014
310,0.014
311,0.013
312,0.013
313,0.013
314,0.012
315,0.012
316,0.012
317,0.012
318,0.011
319,0.011
320,0.01
321,0.01
322,0.01
323,0.01
324,0.01
325,0.009
326,0.009
327,0.009
328,0.008
329,0.008
330,0.008
331,0.008
332,0.007
333,0.007
334,0.007
335,0.007
336,0.006
337,0.006
338,0.006
339,0.006
340,0.005
341,0.005
342,0.005
343,0.005
344,0.005
345,0.005
346,0.005
347,0.004
348,0.004
349,0.004
350,0.004
351,0.004
352,0.004
353,0.004
354,0.003
355,0.004
356,0.003
357,0.004
358,0.003
359,0.003
360,0.003
361,0.003
362,0.003
363,0.003
364,0.003
365,0.003
366,0.003
367,0.003
368,0.002
369,0.002
370,0.002
371,0.003
372,0.002
373,0.002
374,0.002
375,0.002
376,0.002
377,0.002
378,0.002
379,0.002
380,0.002
381,0.001
382,0.002
383,0.001
384,0.002
385,0.002
386,0.001
387,0.001
388,0.001
389,0.001
390,0.001
391,0.001
392,0.001
393,0.001
394,0.001
395,0.001
396,0.001
397,0.001
398,0.001
399,0.001
400,0.001
401,0.001
402,0.001
403,0.001
404,0.001
405,0.001
406,0.001
407,0.001
408,0.001
409,0.001
410,0.001
411,0.001
412,0.001
413,0.001
414,0.001
415,0.001
416,0.001
417,0.001
418,0.001
419,0.001
420,0.001
421,0.001
422,0.001
423,0
424,0
425,0.001
426,0
427,0.001
428,0.001
429,0.001
430,0.001
431,0.001
432,0.001
433,0.001
434,0.001
435,0
436,0.001
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0.001
467,0
468,0
469,0
470,0.001
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0.001
679,0
680,0
681,0
682,0
683,0
684,-0.001
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0.001
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,-0.001
716,-0.001
717,-0.001
718,-0.001
719,-0.001
720,-0.001
721,-0.001
722,-0.001
723,-0.002
724,-0.002
725,-0.002
726,-0.002
727,-0.002
728,-0.002
729,-0.003
730,-0.003
731,-0.003
732,-0.004
733,-0.004
734,-0.004
735,-0.004
736,-0.005
737,-0.005
738,-0.005
739,-0.005
740,-0.005
741,-0.005
742,-0.005
743,-0.004
744,-0.004
745,-0.004
746,-0.004
747,-0.004
748,-0.004
749,-0.003
750,-0.003
751,-0.003
752,-0.003
753,-0.003
754,-0.003
755,-0.002
756,-0.002
757,-0.002
758,-0.002
759,-0.002
760,-0.002
761,-0.002
762,-0.002
763,-0.001
764,-0.001
765,-0.001
766,-0.001
767,-0.001
768,-0.001
769,-0.001
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0.001
779,0.001
780,0.001
781,0.001
782,0.001
783,0.001
784,0.001
785,0.001
786,0.001
787,0.001
788,0.001
789,0.002
790,0.002
791,0.002
792,0.001
793,0.002
794,0.002
795,0.002
796,0.002
797,0.002
798,0.002
799,0.002
800,0.002
