Wavelength (nm),Abs
200,0.252411008
201,0.252614945
202,0.252678365
203,0.252274513
204,0.25170067
205,0.251280099
206,0.250283092
207,0.249322102
208,0.247892544
209,0.246013701
210,0.24411884
211,0.241939306
212,0.239752531
213,0.23706618
214,0.233982056
215,0.230914518
216,0.228060454
217,0.224888742
218,0.221825734
219,0.218509421
220,0.215171874
221,0.211820692
222,0.20904313
223,0.205838472
224,0.20289509
225,0.199916259
226,0.196714446
227,0.193693742
228,0.190841824
229,0.187976256
230,0.185026735
231,0.18207784
232,0.179163709
233,0.176158965
234,0.173457325
235,0.170505926
236,0.167645663
237,0.165077806
238,0.162479058
239,0.160117269
240,0.157250837
241,0.155097485
242,0.152969927
243,0.151281416
244,0.149068534
245,0.147133917
246,0.145510823
247,0.143620238
248,0.141651899
249,0.13988483
250,0.138715908
251,0.137396604
252,0.135976613
253,0.134916306
254,0.133598909
255,0.132642195
256,0.131382167
257,0.130287826
258,0.12911734
259,0.128040642
260,0.126628786
261,0.125652701
262,0.124779448
263,0.123451121
264,0.122208051
265,0.120537445
266,0.119119592
267,0.117909081
268,0.116346218
269,0.114821807
270,0.113509789
271,0.111761004
272,0.11043632
273,0.108774327
274,0.107574098
275,0.105602138
276,0.10441877
277,0.102808952
278,0.101121366
279,0.099514127
280,0.098117515
281,0.097003207
282,0.095545664
283,0.093997046
284,0.092487685
285,0.091013372
286,0.089123577
287,0.087582447
288,0.086015716
289,0.084494174
290,0.083166659
291,0.081747338
292,0.080253795
293,0.078541361
294,0.077281058
295,0.076121591
296,0.075125545
297,0.073743083
298,0.072690554
299,0.071030952
300,0.070220754
301,0.06848377
302,0.067561008
303,0.066452749
304,0.06490621
305,0.063113935
306,0.062191691
307,0.060965352
308,0.060089953
309,0.058695756
310,0.057625942
311,0.056345914
312,0.055816062
313,0.05449548
314,0.05357356
315,0.052289724
316,0.051608514
317,0.050605781
318,0.049376644
319,0.048933562
320,0.047740083
321,0.046532702
322,0.046068676
323,0.045128323
324,0.043945961
325,0.043242585
326,0.042324733
327,0.041575462
328,0.04052623
329,0.039737869
330,0.039274924
331,0.038183544
332,0.037114497
333,0.03614692
334,0.035563897
335,0.034507688
336,0.033593521
337,0.03286786
338,0.032544989
339,0.031482063
340,0.030814216
341,0.030001719
342,0.029222026
343,0.028538045
344,0.027924005
345,0.026797883
346,0.02622284
347,0.025398353
348,0.02469074
349,0.02146589
350,0.021978922
351,0.02098256
352,0.020475505
353,0.019222887
354,0.018043702
355,0.017784489
356,0.016871665
357,0.016646018
358,0.015968194
359,0.014756851
360,0.014151094
361,0.014678685
362,0.01305045
363,0.01258417
364,0.011825979
365,0.01146585
366,0.010659995
367,0.010025561
368,0.009668457
369,0.008767761
370,0.00817375
371,0.00760605
372,0.007496686
373,0.006245049
374,0.006053335
375,0.005862833
376,0.004930398
377,0.004201071
378,0.004055874
379,0.003413815
380,0.00296665
381,0.002393373
382,0.001827584
383,0.001450169
384,0.000713563
385,0.000407429
386,3.36E-05
387,-0.000450751
388,-0.000782759
389,-0.001181587
390,-0.001728792
391,-0.002365529
392,-0.002469425
393,-0.002931763
394,-0.003474766
395,-0.003761719
396,-0.003895503
397,-0.004551515
398,-0.00492023
399,-0.004803401
400,-0.005492296
401,-0.005844686
402,-0.006385336
403,-0.006641056
404,-0.006869313
405,-0.007454799
406,-0.007773412
407,-0.00787892
408,-0.008370733
409,-0.00876423
410,-0.008914691
411,-0.009091821
412,-0.009568639
413,-0.009796224
414,-0.009961659
415,-0.010241427
416,-0.010595492
417,-0.010888888
418,-0.011404842
419,-0.011297009
420,-0.011760581
421,-0.012239061
422,-0.012111951
423,-0.012556649
424,-0.012713848
425,-0.012760051
426,-0.013196703
427,-0.013322692
428,-0.013725223
429,-0.013796697
430,-0.013807329
431,-0.014318627
432,-0.014293079
433,-0.014469732
434,-0.014915374
435,-0.014864397
436,-0.015266102
437,-0.015291343
438,-0.015756764
439,-0.015796805
440,-0.015705785
441,-0.016154053
442,-0.01627844
443,-0.016681381
444,-0.0164169
445,-0.016949086
446,-0.016918613
447,-0.01712277
448,-0.017314792
449,-0.01759916
450,-0.0175479
451,-0.017538751
452,-0.01791822
453,-0.017965212
454,-0.018331554
455,-0.018179901
456,-0.018562084
457,-0.018467078
458,-0.018677451
459,-0.018816438
460,-0.018605983
461,-0.01918429
462,-0.019249721
463,-0.019512977
464,-0.01953233
465,-0.019623935
466,-0.019710228
467,-0.019990562
468,-0.019876136
469,-0.01969019
470,-0.020067735
471,-0.020336473
472,-0.020456556
473,-0.020428009
474,-0.020558041
475,-0.020694451
476,-0.020909423
477,-0.020991318
478,-0.021012874
479,-0.021086365
480,-0.021030484
481,-0.02151808
482,-0.021383012
483,-0.02129986
484,-0.021503003
485,-0.021680588
486,-0.02170206
487,-0.021973385
488,-0.021979142
489,-0.02197363
490,-0.022039676
491,-0.022247244
492,-0.022168292
493,-0.022443503
494,-0.022408104
495,-0.022383912
496,-0.022470789
497,-0.022594804
498,-0.022630533
499,-0.022656923
500,-0.022670534
501,-0.022896219
502,-0.02294587
503,-0.02277902
504,-0.023049621
505,-0.023118351
506,-0.023141077
507,-0.023142451
508,-0.023241986
509,-0.02319281
510,-0.023297681
511,-0.023377458
512,-0.023417979
513,-0.023613367
514,-0.023563007
515,-0.023664014
516,-0.023694851
517,-0.023616014
518,-0.023624154
519,-0.023803864
520,-0.023795776
521,-0.023839053
522,-0.023871396
523,-0.023955623
524,-0.023917113
525,-0.024124177
526,-0.024121827
527,-0.024350919
528,-0.024253011
529,-0.024057321
530,-0.024571868
531,-0.024386358
532,-0.024452232
533,-0.024137842
534,-0.024467401
535,-0.024652682
536,-0.024649845
537,-0.024556652
538,-0.024613403
539,-0.024595741
540,-0.024549752
541,-0.02445649
542,-0.024726195
543,-0.024839889
544,-0.025006829
545,-0.025229886
546,-0.024885945
547,-0.025259294
548,-0.025074614
549,-0.025253383
550,-0.02525094
551,-0.025235407
552,-0.025398435
553,-0.025359027
554,-0.025331482
555,-0.025496917
556,-0.02527087
557,-0.025650134
558,-0.025503067
559,-0.025649697
560,-0.025687028
561,-0.025608651
562,-0.025321569
563,-0.025419677
564,-0.025566187
565,-0.025765978
566,-0.025815349
567,-0.026015174
568,-0.025877595
569,-0.025760269
570,-0.0259529
571,-0.025885154
572,-0.025882959
573,-0.026012637
574,-0.0260711
575,-0.025867399
576,-0.026103277
577,-0.025886374
578,-0.026093038
579,-0.026122192
580,-0.026251847
581,-0.02599996
582,-0.026104739
583,-0.026255013
584,-0.026063688
585,-0.026345847
586,-0.02639262
587,-0.026180053
588,-0.026396323
589,-0.026494822
590,-0.026495649
591,-0.026334737
592,-0.026312225
593,-0.026346089
594,-0.026586333
595,-0.026436465
596,-0.026453124
597,-0.02646808
598,-0.026323628
599,-0.026628407
600,-0.026633276
601,-0.026526919
602,-0.026831359
603,-0.026623098
604,-0.026767986
605,-0.026685812
606,-0.026547179
607,-0.026789842
608,-0.02676492
609,-0.026622564
610,-0.026700124
611,-0.026626507
612,-0.026740192
613,-0.026874382
614,-0.026920903
615,-0.026684253
616,-0.026991989
617,-0.026759516
618,-0.026822209
619,-0.026876962
620,-0.026876232
621,-0.027114138
622,-0.02702838
623,-0.026965668
624,-0.026925964
625,-0.027035385
626,-0.02688431
627,-0.026912436
628,-0.02693487
629,-0.027034268
630,-0.027002936
631,-0.02703665
632,-0.02710446
633,-0.027029451
634,-0.02712586
635,-0.02711443
636,-0.02707688
637,-0.027151443
638,-0.027095217
639,-0.027129265
640,-0.027185777
641,-0.027058445
642,-0.027286528
643,-0.027285507
644,-0.02725682
645,-0.027375005
646,-0.027110832
647,-0.027165061
648,-0.027446067
649,-0.027037187
650,-0.027248895
651,-0.027225312
652,-0.027285896
653,-0.0271814
654,-0.027392456
655,-0.02744874
656,-0.027426479
657,-0.027215781
658,-0.027435375
659,-0.027331304
660,-0.027325956
661,-0.027389005
662,-0.027473865
663,-0.027392359
664,-0.02743659
665,-0.02757455
666,-0.027485384
667,-0.027489854
668,-0.027487911
669,-0.027584413
670,-0.027559049
671,-0.027565755
672,-0.027390366
673,-0.027523045
674,-0.027398581
675,-0.027564103
676,-0.02741671
677,-0.027081938
678,-0.027350457
679,-0.027155576
680,-0.027252493
681,-0.027123185
682,-0.027258912
683,-0.027172452
684,-0.027479796
685,-0.027221324
686,-0.027261732
687,-0.027267225
688,-0.027591895
689,-0.027605111
690,-0.027729321
691,-0.028277036
692,-0.027976373
693,-0.028139977
694,-0.027979091
695,-0.028204072
696,-0.028049277
697,-0.028261172
698,-0.028094508
699,-0.028115327
700,-0.028137065
701,-0.02829673
702,-0.028093392
703,-0.028126633
704,-0.028128864
705,-0.028335145
706,-0.028370695
707,-0.027955595
708,-0.027798187
709,-0.027376805
710,-0.027519692
711,-0.027439117
712,-0.027375005
713,-0.027445726
714,-0.027681137
715,-0.027502149
716,-0.027730485
717,-0.027956324
718,-0.028037967
719,-0.027672101
720,-0.027721258
721,-0.027575376
722,-0.027723735
723,-0.028221732
724,-0.028061701
725,-0.028104069
726,-0.027928555
727,-0.027738111
728,-0.02769872
729,-0.028186558
730,-0.028269129
731,-0.028305799
732,-0.028250501
733,-0.028298862
734,-0.028349161
735,-0.028295176
736,-0.028323552
737,-0.028411867
738,-0.028340479
739,-0.02840081
740,-0.028465595
741,-0.028337425
742,-0.028080968
743,-0.028261269
744,-0.028434368
745,-0.028347075
746,-0.028663475
747,-0.028316082
748,-0.028638855
749,-0.028516941
750,-0.028430536
751,-0.028441884
752,-0.028255496
753,-0.028503608
754,-0.028485425
755,-0.028015301
756,-0.028232599
757,-0.028084995
758,-0.028397126
759,-0.028479753
760,-0.028397853
761,-0.028540792
762,-0.028590092
763,-0.028408134
764,-0.028441932
765,-0.028257001
766,-0.028620727
767,-0.028385971
768,-0.028463705
769,-0.028507922
770,-0.02872696
771,-0.028509812
772,-0.028200967
773,-0.028036561
774,-0.027971907
775,-0.028494734
776,-0.028461618
777,-0.028570848
778,-0.028591402
779,-0.028755549
780,-0.028464818
781,-0.028420644
782,-0.028586263
783,-0.028559407
784,-0.028567456
785,-0.028561395
786,-0.028616462
787,-0.028597897
788,-0.028587185
789,-0.028505499
790,-0.028537447
791,-0.028702294
792,-0.028618449
793,-0.02819141
794,-0.028374041
795,-0.028059518
796,-0.028422343
797,-0.028582191
798,-0.028664785
799,-0.028491972
800,-0.028546512
