Wavelength (nm),Abs
598,0.000650872
599,0.000494004
600,0.000429505
601,0.000504578
602,0.000413959
603,0.000336311
604,0.000418234
605,0.000458372
606,0.000424452
607,0.000431189
608,0.000459253
609,0.000410512
610,0.000515229
611,0.000464099
612,0.000583888
613,0.000525337
614,0.000273468
615,0.000332555
616,0.000186548
617,8.85E-05
618,0.000434791
619,0.000202864
620,0.000166375
621,0.000279374
622,0.000105938
623,0.000389474
624,0.000363773
625,0.000101381
626,0.000199834
627,0.000101278
628,0.000223686
629,-0.000146852
630,0.000195872
631,0.000133204
632,0.000279399
633,0.00014628
634,-4.04E-06
635,0.00016609
636,5.56E-05
637,0.00015032
638,9.06E-05
639,9.65E-05
640,0.000168369
641,0.00018067
642,0.000110987
643,0.000209131
644,0.000122846
645,0.000273727
646,5.68E-05
647,0.000205739
648,0.000128543
649,0.000119428
650,2.06E-05
651,2.60E-05
652,-3.95E-05
653,-0.000109639
654,-0.000153942
655,-3.68E-05
656,-5.57E-05
657,2.93E-06
658,-0.000145714
659,8.69E-05
660,-4.48E-05
661,-0.000167864
662,0.00010599
663,-6.79E-05
664,-0.000290447
665,-0.000197569
666,-0.000120405
667,-5.53E-05
668,6.73E-05
669,0.000251296
670,7.41E-05
671,-0.000264112
672,0.000285979
673,-0.000279375
674,-0.000525116
675,-8.37E-05
676,-0.000152183
677,-0.000179767
678,-0.000232497
679,-0.000177386
680,-0.000177748
681,0.00038323
682,-1.39E-05
683,-0.000183855
684,-0.000119732
685,-0.000148612
686,-0.00025811
687,-0.000316263
688,-0.000119163
689,-0.000195809
690,-0.000235809
691,-0.000247089
692,-0.000246365
693,-0.000176972
694,-7.02E-05
695,-9.49E-05
696,-0.000370788
697,-0.000189185
698,-0.000196792
699,2.97E-05
700,-0.000365046
701,-0.000115074
702,-1.40E-06
703,-0.000232653
704,-3.51E-05
705,-0.000332507
706,-0.000254126
707,-0.00023436
708,-0.000372495
709,-0.000223701
710,-0.000377667
711,-0.000350975
712,8.45E-05
713,-0.000215784
714,-0.000573823
715,-5.24E-05
716,-0.000801414
717,-0.000334525
718,-0.000120819
719,-0.000381443
720,-0.000377409
721,-0.000387288
722,-0.000435442
723,-0.000311193
724,-0.000576615
725,-0.000349579
726,-0.000570204
727,-0.000521082
728,-0.000417444
729,-0.000272908
730,-0.000396444
731,-0.000447286
732,-0.000444235
733,-0.000299604
734,-0.000335663
735,-0.00047873
736,-0.000324437
737,-0.00040234
738,-0.000576357
739,-0.000541507
740,-0.00030395
741,-0.000321333
742,-0.000564878
743,-0.000411444
744,-0.000392047
745,-0.000469111
746,-0.000478058
747,-0.000306278
748,-0.000649562
749,-0.000186132
750,-0.000283566
751,-0.000425254
752,-0.000266802
753,-0.00017987
754,-0.00028786
755,-0.000539594
756,-0.000585767
757,-0.000420547
758,-0.000543886
759,-0.000607791
760,-0.000440666
761,-0.000459181
762,-0.000399806
763,-0.000807667
764,-0.000488969
765,-0.000272908
766,-0.000428046
767,-0.000282324
768,-0.000188926
769,-0.000388995
770,-0.00050619
771,-0.000241604
772,-0.000552314
773,-0.000643669
774,-0.000386099
775,-0.000416668
776,-0.000233739
777,-0.000352889
778,-0.000379685
779,-0.000334835
780,-0.000292775
781,-0.000451889
782,-0.000501484
783,-0.000618958
784,-0.000194308
785,-0.000409892
786,-0.000328162
787,-0.000225667
788,-0.000805497
789,-0.000656489
790,-0.000460681
791,-0.000492538
792,-0.000248279
793,-0.000489849
794,-0.000367994
795,-0.000504845
796,-0.000266233
797,-0.000233377
798,-0.000551642
799,-0.000359356
800,-0.000575478
